,date,close
209,2020-12-30,205220.19
210,2021-01-06,205331.12
211,2021-01-13,204928.21
212,2021-01-20,205729.38
213,2021-01-27,207569.96
214,2021-02-03,209347.5
215,2021-02-10,209640.21
216,2021-02-17,209465.25
217,2021-02-24,211396.41
218,2021-03-03,212773.53
219,2021-03-10,214959.15
220,2021-03-17,218250.16
221,2021-03-24,217864.79
222,2021-03-31,217665.48
223,2021-04-07,219942.97
224,2021-04-14,219186.09
225,2021-04-21,221193.3
226,2021-04-28,220921.89
227,2021-05-05,222146.15
228,2021-05-12,223605.36
229,2021-05-24,224687.2
230,2021-05-26,224214.03
231,2021-06-02,225354.8
232,2021-06-09,225609.87
233,2021-06-16,226753.63
234,2021-06-23,228002.57
235,2021-06-30,229635.5
236,2021-07-07,231225.74
237,2021-07-14,233568.44
238,2021-07-21,234726.73
239,2021-07-28,235973.32
240,2021-08-04,236690.72
241,2021-08-11,236165.8
242,2021-08-18,236618.8
243,2021-08-25,237793.95
244,2021-09-01,236871.1
245,2021-09-08,239221.65
246,2021-09-15,241041.16
247,2021-09-22,240911.82
248,2021-09-29,242711.33
249,2021-10-06,243133.41
250,2021-10-13,242795.9
251,2021-10-20,244004.28
252,2021-10-27,248335.64
253,2021-11-03,249764.49
254,2021-11-10,250093.87
255,2021-11-17,251942.74
256,2021-11-24,252660.19
257,2021-12-01,252863.74
258,2021-12-08,254462.08
259,2021-12-15,255933.43
260,2021-12-22,256386.67
261,2021-12-29,257412.94
262,2022-01-05,257310.3
263,2022-01-12,257591.8
264,2022-01-19,258980.96
265,2022-01-26,262494.76
266,2022-02-02,264220.24
267,2022-02-09,264328.38
268,2022-02-16,264330.99
269,2022-02-24,265189.76
270,2022-03-01,264533.7
271,2022-03-08,266111.68
272,2022-03-16,268455.09
273,2022-03-23,270619.04
274,2022-03-30,276245.76
275,2022-04-06,279511.26
276,2022-04-13,281195.12
277,2022-04-20,282993.79
278,2022-04-27,283098.88
279,2022-05-04,285641.7
280,2022-05-11,285152.2
281,2022-05-18,288725.1
282,2022-05-25,288819.76
283,2022-06-01,288044.88
284,2022-06-08,285523.66
285,2022-06-15,282530.73
286,2022-06-22,277878.18
287,2022-06-29,274767.47
288,2022-07-06,271758.38
289,2022-07-13,268993.18
290,2022-07-20,268552.95
